County,County Code,Drug/Alcohol Induced,Drug/Alcohol Induced Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,% of Total Deaths
"Lowndes County, GA",13185,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,930,117406,792.1,741.2,843,26,839.1,784.5,893.8,0.0%
"Lumpkin County, GA",13187,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,289,33610,859.9,760.7,959,50.6,756.6,665.6,847.5,0.0%
"McDuffie County, GA",13189,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,259,21312,1215.3,1067.3,1363.3,75.5,1025.7,896.2,1155.2,0.0%
"McIntosh County, GA",13191,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,130,14378,904.2,748.7,1059.6,79.3,565.4,454.3,676.6,0.0%
"Macon County, GA",13193,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,159,12947,1228.1,1037.2,1419,97.4,971,814.5,1127.6,0.0%
"Madison County, GA",13195,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,307,29880,1027.4,912.5,1142.4,58.6,885.4,783.6,987.3,0.0%
"Marion County, GA",13197,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,93,8359,1112.6,898,1363,115.4,803.2,636.9,999.7,0.0%
"Meriwether County, GA",13199,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,288,21167,1360.6,1203.5,1517.8,80.2,972.5,854.5,1090.4,0.0%
"Miller County, GA",13201,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,91,5718,1591.5,1281.4,1954,166.8,1095.8,867.5,1365.6,0.0%
"Mitchell County, GA",13205,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,270,21863,1235,1087.7,1382.3,75.2,980.9,862,1099.8,0.0%
"Monroe County, GA",13207,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,255,27578,924.7,811.2,1038.1,57.9,690.6,603,778.3,0.0%
"Montgomery County, GA",13209,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,104,9172,1133.9,916,1351.8,111.2,1003.4,802.5,1204.4,0.0%
"Morgan County, GA",13211,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,179,19276,928.6,792.6,1064.7,69.4,678.7,576,781.4,0.0%
"Murray County, GA",13213,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,385,40096,960.2,864.3,1056.1,48.9,867.2,778.4,956.1,0.0%
"Muscogee County, GA",13215,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,195769,10.2,6.2,15.8,2.3,10.1,6.1,15.8,0.0%
"Muscogee County, GA",13215,Alcohol-induced causes,A,All other alcohol-induced causes,A9,25,195769,12.8,8.3,18.9,2.6,12.8,8.2,19.1,0.0%
"Muscogee County, GA",13215,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1996,195769,1019.6,974.8,1064.3,22.8,960.7,918,1003.4,0.1%
"Newton County, GA",13217,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,12,111744,Unreliable,5.5,18.8,3.1,Unreliable,5.2,18.8,0.0%
"Newton County, GA",13217,Alcohol-induced causes,A,All other alcohol-induced causes,A9,16,111744,Unreliable,8.2,23.3,3.6,Unreliable,7.1,21,0.0%
"Newton County, GA",13217,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,940,111744,841.2,787.4,895,27.4,861.9,805.6,918.2,0.0%
"Oconee County, GA",13219,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,293,40280,727.4,644.1,810.7,42.5,663.7,586.7,740.6,0.0%
"Oglethorpe County, GA",13221,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,153,15259,1002.7,843.8,1161.6,81.1,710.5,595.7,825.3,0.0%
"Paulding County, GA",13223,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,22,168667,13,8.2,19.7,2.8,13.1,8.2,19.9,0.0%
"Paulding County, GA",13223,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,986,168667,584.6,548.1,621.1,18.6,743.3,694.7,792,0.0%
"Peach County, GA",13225,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,304,27546,1103.6,979.5,1227.7,63.3,941,832.1,1049.9,0.0%
"Pickens County, GA",13227,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,350,32591,1073.9,961.4,1186.4,57.4,791.2,703.8,878.6,0.0%
"Pierce County, GA",13229,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,236,19465,1212.4,1057.7,1367.1,78.9,982,854.6,1109.4,0.0%
"Pike County, GA",13231,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,204,18962,1075.8,928.2,1223.5,75.3,903.1,777,1029.2,0.0%
"Polk County, GA",13233,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,518,42613,1215.6,1110.9,1320.3,53.4,1065.7,972.4,1159.1,0.0%
"Pulaski County, GA",13235,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,125,11137,1122.4,925.6,1319.1,100.4,713.8,583,844.7,0.0%
"Putnam County, GA",13237,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,242,22119,1094.1,956.2,1231.9,70.3,704.6,610,799.2,0.0%
"Quitman County, GA",13239,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,51,2299,2218.4,1651.7,2916.7,310.6,1334.5,929.5,1855.9,0.0%
"Rabun County, GA",13241,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,222,17137,1295.4,1125,1465.9,86.9,756.9,648.8,865,0.0%
"Randolph County, GA",13243,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,93,6778,1372.1,1107.5,1680.9,142.3,802.6,631.3,1006,0.0%
"Richmond County, GA",13245,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,40,202518,19.8,14.1,26.9,3.1,21.3,15.1,29.2,0.0%
"Richmond County, GA",13245,Alcohol-induced causes,A,All other alcohol-induced causes,A9,24,202518,11.9,7.6,17.6,2.4,9.7,6.1,14.7,0.0%
"Richmond County, GA",13245,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,2045,202518,1009.8,966,1053.6,22.3,949.7,907.7,991.8,0.1%
"Rockdale County, GA",13247,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,780,90896,858.1,797.9,918.3,30.7,811.2,752.6,869.7,0.0%
"Schley County, GA",13249,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,43,5257,818,592,1101.8,124.7,612.4,441.3,827.8,0.0%
"Screven County, GA",13251,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,164,13966,1174.3,994.6,1354,91.7,861.6,725.8,997.3,0.0%
"Seminole County, GA",13253,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,123,8090,1520.4,1251.7,1789.1,137.1,938.7,763.5,1113.9,0.0%
"Spalding County, GA",13255,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,729,66703,1092.9,1013.6,1172.2,40.5,857.6,794.1,921.2,0.0%
"Stephens County, GA",13257,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,391,25925,1508.2,1358.7,1657.7,76.3,1168.6,1049,1288.2,0.0%
"Stewart County, GA",13259,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,64,6621,966.6,744.4,1234.4,120.8,823.7,623.9,1067.3,0.0%
"Sumter County, GA",13261,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,337,29524,1141.4,1019.6,1263.3,62.2,930,828.4,1031.7,0.0%
"Talbot County, GA",13263,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,89,6195,1436.6,1153.7,1767.9,152.3,877.1,688.7,1101.1,0.0%
"Taliaferro County, GA",13265,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,31,1537,2016.9,1370.4,2862.9,362.2,1149.1,728.4,1724.2,0.0%
"Tattnall County, GA",13267,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,253,25286,1000.6,877.3,1123.8,62.9,900,787.4,1012.7,0.0%
"Taylor County, GA",13269,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,100,8020,1246.9,1002.5,1491.3,124.7,860.3,686.4,1034.2,0.0%
"Telfair County, GA",13271,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,145,15860,914.2,765.4,1063.1,75.9,651.8,542.5,761,0.0%
"Terrell County, GA",13273,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,111,8531,1301.1,1059.1,1543.2,123.5,953.5,770,1137,0.0%
"Thomas County, GA",13275,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,578,44451,1300.3,1194.3,1406.3,54.1,981.4,899.5,1063.4,0.0%
"Tift County, GA",13277,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,459,40644,1129.3,1026,1232.6,52.7,988.8,897.3,1080.3,0.0%
"Toombs County, GA",13279,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,320,26830,1192.7,1062,1323.4,66.7,959.3,852.2,1066.4,0.0%
"Towns County, GA",13281,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,169,12037,1404,1192.3,1615.7,108,627.3,517.7,737,0.0%
"Treutlen County, GA",13283,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,73,6901,1057.8,829.2,1330,123.8,850.2,660.2,1077.8,0.0%
"Troup County, GA",13285,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,695,69922,994,920.1,1067.9,37.7,867.5,801.9,933,0.0%
"Turner County, GA",13287,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,146,7985,1828.4,1531.8,2125,151.3,1299,1082.9,1515.1,0.0%
"Twiggs County, GA",13289,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,108,8120,1330,1079.2,1580.9,128,901,717.6,1084.5,0.0%
"Union County, GA",13291,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,287,24511,1170.9,1035.4,1306.4,69.1,572.5,496.8,648.3,0.0%
"Upson County, GA",13293,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,408,26320,1550.2,1399.7,1700.6,76.7,1156.5,1040.9,1272.1,0.0%
"Walker County, GA",13295,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,69761,Unreliable,9.9,31.9,5.2,Unreliable,10.6,34.2,0.0%
"Walker County, GA",13295,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,825,69761,1182.6,1101.9,1263.3,41.2,859.3,799.3,919.3,0.0%
"Walton County, GA",13297,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,94593,Unreliable,12.1,31.4,4.6,Unreliable,10.8,28.8,0.0%
"Walton County, GA",13297,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,855,94593,903.9,843.3,964.5,30.9,800.6,746.1,855,0.0%
"Ware County, GA",13299,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,484,35734,1354.5,1233.8,1475.1,61.6,1045.6,950.2,1141.1,0.0%
"Warren County, GA",13301,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,74,5254,1408.5,1105.9,1768.2,163.7,851.5,661.2,1079.4,0.0%
"Washington County, GA",13303,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,245,20374,1202.5,1051.9,1353.1,76.8,908.8,792.5,1025.1,0.0%
"Wayne County, GA",13305,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,340,29927,1136.1,1015.3,1256.9,61.6,988.8,882,1095.5,0.0%
"Webster County, GA",13307,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,29,2607,1112.4,745,1597.6,206.6,710.6,450.5,1066.3,0.0%
"Wheeler County, GA",13309,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,64,7855,814.8,627.5,1040.4,101.8,709.7,545.3,908,0.0%
"White County, GA",13311,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,327,30798,1061.8,946.7,1176.8,58.7,689,610.9,767.2,0.0%
"Whitfield County, GA",13313,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,104628,Unreliable,10.2,27.2,4.1,Unreliable,10.6,28.2,0.0%
"Whitfield County, GA",13313,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,906,104628,865.9,809.5,922.3,28.8,786.7,735,838.3,0.0%
"Wilcox County, GA",13315,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,101,8635,1169.7,941.5,1397.8,116.4,873.2,700.3,1046.1,0.0%
"Wilkes County, GA",13317,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,144,9777,1472.8,1232.3,1713.4,122.7,891.2,735.6,1046.8,0.0%
"Wilkinson County, GA",13319,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,116,8954,1295.5,1059.8,1531.3,120.3,912.9,738.5,1087.4,0.0%
"Worth County, GA",13321,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,272,20247,1343.4,1183.8,1503.1,81.5,973.4,853.6,1093.3,0.0%
"Hawaii County, HI",15001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,201513,Unreliable,3.4,11,1.8,Unreliable,3.4,11.6,0.0%
"Hawaii County, HI",15001,Alcohol-induced causes,A,All other alcohol-induced causes,A9,16,201513,Unreliable,4.5,12.9,2,Unreliable,3.3,10.1,0.0%
"Hawaii County, HI",15001,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1784,201513,885.3,844.2,926.4,21,619.2,588.9,649.6,0.1%
"Honolulu County, HI",15003,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,157,974563,16.1,13.6,18.6,1.3,15.2,12.7,17.6,0.0%
"Honolulu County, HI",15003,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,13,974563,Unreliable,0.7,2.3,0.4,Unreliable,0.6,2.1,0.0%
"Honolulu County, HI",15003,Drug-induced causes,D,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10,974563,Unreliable,0.5,1.9,0.3,Unreliable,0.5,2,0.0%
"Honolulu County, HI",15003,Drug-induced causes,D,All other drug-induced causes,D9,15,974563,Unreliable,0.9,2.5,0.4,Unreliable,0.8,2.4,0.0%
"Honolulu County, HI",15003,Alcohol-induced causes,A,All other alcohol-induced causes,A9,46,974563,4.7,3.5,6.3,0.7,4.1,3,5.5,0.0%
"Honolulu County, HI",15003,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,7597,974563,779.5,762,797.1,8.9,536.6,524,549.2,0.3%
"Kauai County, HI",15007,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,10,72293,Unreliable,6.6,25.4,4.4,Unreliable,4.4,18.3,0.0%
"Kauai County, HI",15007,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,598,72293,827.2,760.9,893.5,33.8,564.7,517.4,612,0.0%
"Maui County, HI",15009,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,23,167417,13.7,8.7,20.6,2.9,12.2,7.7,18.5,0.0%
"Maui County, HI",15009,Alcohol-induced causes,A,All other alcohol-induced causes,A9,19,167417,Unreliable,6.8,17.7,2.6,Unreliable,5.8,15.4,0.0%
"Maui County, HI",15009,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1218,167417,727.5,686.7,768.4,20.8,540.6,509.3,571.8,0.0%
"Ada County, ID",16001,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,63,481587,13.1,10.1,16.7,1.6,12.5,9.6,16.1,0.0%
"Ada County, ID",16001,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,10,481587,Unreliable,1,3.8,0.7,Unreliable,0.9,3.5,0.0%
"Ada County, ID",16001,Alcohol-induced causes,A,All other alcohol-induced causes,A9,73,481587,15.2,11.9,19.1,1.8,12.7,9.9,16,0.0%
"Ada County, ID",16001,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,3121,481587,648.1,625.3,670.8,11.6,617.1,595.2,639.1,0.1%
"Adams County, ID",16003,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,36,4294,838.4,587.2,1160.7,139.7,436.5,292.3,626.8,0.0%
"Bannock County, ID",16005,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,26,87808,29.6,19.3,43.4,5.8,30,19.4,44.3,0.0%
"Bannock County, ID",16005,Alcohol-induced causes,A,All other alcohol-induced causes,A9,17,87808,Unreliable,11.3,31,4.7,Unreliable,10.3,29.2,0.0%
"Bannock County, ID",16005,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,684,87808,779,720.6,837.4,29.8,752.3,695.1,809.6,0.0%
"Bear Lake County, ID",16007,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,52,6125,849,634.1,1113.3,117.7,597.2,441.8,789.5,0.0%
"Benewah County, ID",16009,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,129,9298,1387.4,1148,1626.8,122.2,1010.5,825.4,1195.6,0.0%
"Bingham County, ID",16011,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,371,46811,792.5,711.9,873.2,41.1,766.7,687.6,845.8,0.0%
"Blaine County, ID",16013,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,129,23021,560.4,463.7,657.1,49.3,467.6,383.3,551.9,0.0%
"Boise County, ID",16015,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,59,7831,753.4,573.5,971.9,98.1,493,364.7,651.7,0.0%
"Bonner County, ID",16017,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,469,45739,1025.4,932.6,1118.2,47.3,668.5,603.8,733.3,0.0%
"Bonneville County, ID",16019,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,28,119062,23.5,15.6,34,4.4,26,17.2,37.9,0.0%
"Bonneville County, ID",16019,Alcohol-induced causes,A,All other alcohol-induced causes,A9,17,119062,Unreliable,8.3,22.9,3.5,Unreliable,8.7,24.7,0.0%
"Bonneville County, ID",16019,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,901,119062,756.7,707.3,806.2,25.2,766.8,716.2,817.4,0.0%
"Boundary County, ID",16021,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,109,12245,890.2,723,1057.3,85.3,600.3,480.1,720.6,0.0%
"Butte County, ID",16023,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,31,2597,1193.7,811,1694.3,214.4,730.4,485.3,1055.6,0.0%
"Camas County, ID",16025,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,13,1106,Unreliable,625.9,2010,326,Unreliable,398.3,1427.7,0.0%
"Canyon County, ID",16027,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,229849,Unreliable,4,11.3,1.7,Unreliable,4.3,12.3,0.0%
"Canyon County, ID",16027,Alcohol-induced causes,A,All other alcohol-induced causes,A9,28,229849,12.2,8.1,17.6,2.3,12.1,7.9,17.5,0.0%
"Canyon County, ID",16027,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1567,229849,681.8,648,715.5,17.2,693.1,658.4,727.9,0.1%
"Caribou County, ID",16029,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,68,7155,950.4,738,1204.8,115.3,731.8,565.9,931,0.0%
"Cassia County, ID",16031,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,208,24030,865.6,748,983.2,60,804.5,694.1,914.9,0.0%
"Clearwater County, ID",16035,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,92,8756,1050.7,847,1288.6,109.5,566.3,448.3,705.7,0.0%
"Custer County, ID",16037,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,46,4315,1066,780.5,1422,157.2,710.7,489.2,998,0.0%
"Elmore County, ID",16039,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,203,27511,737.9,636.4,839.4,51.8,735.2,632.2,838.2,0.0%
"Franklin County, ID",16041,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,99,13876,713.5,579.9,868.6,71.7,673.4,546,821.4,0.0%
"Fremont County, ID",16043,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,104,13099,794,641.4,946.5,77.9,652.9,525.3,780.5,0.0%
"Gem County, ID",16045,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,204,18112,1126.3,971.8,1280.9,78.9,745.7,640.7,850.7,0.0%
"Gooding County, ID",16047,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,125,15179,823.5,679.1,967.9,73.7,614.3,504.2,724.5,0.0%
"Idaho County, ID",16049,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,185,16667,1110,950,1269.9,81.6,568.3,481.3,655.3,0.0%
"Jefferson County, ID",16051,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,165,29871,552.4,468.1,636.7,43,662.2,559.3,765,0.0%
"Jerome County, ID",16053,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,172,24412,704.6,599.3,809.9,53.7,740.8,628.3,853.2,0.0%
"Kootenai County, ID",16055,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,165697,Unreliable,6,16.4,2.5,Unreliable,5.9,16.8,0.0%
"Kootenai County, ID",16055,Alcohol-induced causes,A,All other alcohol-induced causes,A9,32,165697,19.3,13.2,27.3,3.4,16.3,10.9,23.4,0.0%
"Kootenai County, ID",16055,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1558,165697,940.3,893.6,987,23.8,725.2,688.4,761.9,0.1%
"Latah County, ID",16057,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,193,40108,481.2,413.3,549.1,34.6,468,400.8,535.2,0.0%
"Lemhi County, ID",16059,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,108,8027,1345.5,1091.7,1599.2,129.5,702,551.2,852.8,0.0%
"Lewis County, ID",16061,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,50,3838,1302.8,966.9,1717.5,184.2,748.9,535,1019.8,0.0%
"Lincoln County, ID",16063,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,40,5366,745.4,532.5,1015.1,117.9,705,498.9,967.7,0.0%
"Madison County, ID",16065,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,169,39907,423.5,359.6,487.3,32.6,799.4,676.8,922,0.0%
"Minidoka County, ID",16067,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,215,21039,1021.9,885.3,1158.5,69.7,838.4,724.6,952.3,0.0%
"Nez Perce County, ID",16069,Alcohol-induced causes,A,All other alcohol-induced causes,A9,13,40408,Unreliable,17.1,55,8.9,Unreliable,13.3,47.6,0.0%
"Nez Perce County, ID",16069,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,492,40408,1217.6,1110,1325.2,54.9,791.6,719.4,863.9,0.0%
"Oneida County, ID",16071,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,43,4531,949,686.8,1278.3,144.7,634.1,450.9,866.9,0.0%
"Owyhee County, ID",16073,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,107,11823,905,733.5,1076.5,87.5,734.3,591.7,877,0.0%
"Payette County, ID",16075,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,247,23951,1031.3,902.7,1159.9,65.6,810.7,707.2,914.2,0.0%
"Power County, ID",16077,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,66,7681,859.3,664.6,1093.2,105.8,777.3,598.6,992.6,0.0%
"Shoshone County, ID",16079,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,183,12882,1420.6,1214.8,1626.4,105,931.2,790.4,1072.1,0.0%
"Teton County, ID",16081,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,58,12142,477.7,362.7,617.5,62.7,601.4,449.2,788.7,0.0%
"Twin Falls County, ID",16083,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,86878,Unreliable,13.2,34.2,5,Unreliable,12.6,33.6,0.0%
"Twin Falls County, ID",16083,Alcohol-induced causes,A,All other alcohol-induced causes,A9,12,86878,Unreliable,7.1,24.1,4,Unreliable,6.7,24.1,0.0%
"Twin Falls County, ID",16083,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,766,86878,881.7,819.3,944.1,31.9,768.3,713.3,823.3,0.0%
"Valley County, ID",16085,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,74,11392,649.6,510.1,815.5,75.5,462.9,358.8,587.9,0.0%
"Washington County, ID",16087,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,143,10194,1402.8,1172.9,1632.7,117.3,817.9,675.5,960.3,0.0%
"Adams County, IL",17001,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,773,65435,1181.3,1098,1264.6,42.5,736,681,791,0.0%
"Alexander County, IL",17003,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,109,5761,1892,1536.8,2247.2,181.2,1225.3,976.8,1473.8,0.0%
"Bond County, IL",17005,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,174,16426,1059.3,901.9,1216.7,80.3,733.5,620.6,846.5,0.0%
"Boone County, IL",17007,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,388,53544,724.6,652.5,796.7,36.8,611.8,550.1,673.4,0.0%
"Brown County, IL",17009,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,54,6578,820.9,616.7,1071.1,111.7,718.5,538.2,939.8,0.0%
"Bureau County, IL",17011,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,428,32628,1311.8,1187.5,1436,63.4,749,675.3,822.7,0.0%
"Calhoun County, IL",17013,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,62,4739,1308.3,1003.1,1677.2,166.2,681.1,521,874.9,0.0%
